#sequenceID	family	LTRtype	start	end
ctgD_rep_0214	RLG_famc4	LTR3	8611	9506
ctgL_rep_0004	RLG_famc1	LTR5	1	472
ctgL_rep_0004	RLG_famc1	LTR3	8043	8515
ctgB_rep_0041	RLC_famc1	LTR5	1	1733
ctgB_rep_0041	RLC_famc1	LTR3	6839	8566
TREP2310	RLC_famc3	LTR5	1	198
TREP2310	RLC_famc3	LTR3	13026	13223
ctgE_rep_0085	RLG_famc6	LTR5	1	1515
ctgE_rep_0085	RLG_famc6	LTR3	8622	10148
rph7_rep_0542	RLC_famc1	LTR5	1	1106
rph7_rep_0542	RLC_famc1	LTR3	6855	7961
sr2_rep_0011	XXX_famc19	LTR5	1	175
sr2_rep_0011	XXX_famc19	LTR3	2175	2348
ctgA_rep_0445	RLC_famc1	LTR5	5	704
ctgA_rep_0445	RLC_famc1	LTR3	2603	3303
TREP2288	RLC_famc10	LTR5	1	367
TREP2288	RLC_famc10	LTR3	6396	6761
TREP3276	RLX_famc1	LTR5	1	481
TREP3276	RLX_famc1	LTR3	5213	5698
ctgH_rep_0134	RLG_famc5	LTR5	1	1226
ctgH_rep_0134	RLG_famc5	LTR3	10597	11820
TREP3197	RLG_famc1	LTR5	2	470
TREP3197	RLG_famc1	LTR3	8187	8653
ctgA_rep_0454	RLX_famc7	LTR5	3	4717
ctgA_rep_0454	RLX_famc7	LTR3	8103	12895
ctgB_rep_0118	RLG_famc2	LTR5	1	1577
ctgB_rep_0118	RLG_famc2	LTR3	6076	7646
TREP1804	RLG_famc1	LTR5	5	488
TREP1804	RLG_famc1	LTR3	8075	8558
ctgA_rep_0163	RLC_famc1	LTR5	1	1738
ctgA_rep_0163	RLC_famc1	LTR3	6992	8726
rph7_rep_0477	RLG_famc1	LTR5	1	426
rph7_rep_0477	RLG_famc1	LTR3	7419	7844
ctgB_rep_0090	RLG_famc4	LTR5	3	872
ctgB_rep_0090	RLG_famc4	LTR3	7573	8462
TREP1501	RLC_famc1	LTR5	6	1838
TREP1501	RLC_famc1	LTR3	6828	8660
rph7_rep_0510	RLG_famc6	LTR5	1	1514
rph7_rep_0510	RLG_famc6	LTR3	8630	10141
TREP1556	RLG_famc16	LTR5	5	5458
TREP1556	RLG_famc16	LTR3	10808	16263
ctgF_rep_0141	RLG_famc21	LTR5	1	1443
ctgF_rep_0141	RLG_famc21	LTR3	6556	7998
ctgE_rep_0162	RLG_famc1	LTR5	2	473
ctgE_rep_0162	RLG_famc1	LTR3	7536	8007
ctgB_rep_0194	RLG_famc1	LTR5	1	473
ctgB_rep_0194	RLG_famc1	LTR3	8176	8648
TREP3245	RLG_famc2	LTR5	1	1582
TREP3245	RLG_famc2	LTR3	5529	7108
ctgD_rep_0134	RLG_famc2	LTR5	1	401
ctgD_rep_0134	RLG_famc2	LTR3	4189	4591
ctgL_rep_0083	RLG_famc3	LTR5	1	4139
ctgL_rep_0083	RLG_famc3	LTR3	8107	12249
TREP106	XXX_famc45	LTR5	1	965
TREP106	XXX_famc45	LTR3	1124	1761
ctgE_rep_0149	RLG_famc2	LTR5	1	1551
ctgE_rep_0149	RLG_famc2	LTR3	6310	7869
ctgF_rep_0255	RLG_famc4	LTR5	1	905
ctgF_rep_0255	RLG_famc4	LTR3	8547	8861
ctgF_rep_0143	RLG_famc6	LTR5	1	1483
ctgF_rep_0143	RLG_famc6	LTR3	8734	10248
ctgG_rep_0132	RLG_famc5	LTR5	1	339
ctgG_rep_0132	RLG_famc5	LTR3	8028	8367
TREP3254	RLG_famc12	LTR5	1	1638
TREP3254	RLG_famc12	LTR3	5689	7321
ctgD_rep_0064	RLG_famc1	LTR5	24	470
ctgD_rep_0064	RLG_famc1	LTR3	8690	9136
ctgK_rep_0036	RLG_famc8	LTR5	1	918
ctgK_rep_0036	RLG_famc8	LTR3	6995	7912
TREP3167	RLG_famc6	LTR5	1	477
TREP3167	RLG_famc6	LTR3	8177	8664
ctgH_rep_0184	RLG_famc3	LTR5	1	4331
ctgH_rep_0184	RLG_famc3	LTR3	8303	12705
TREP234	RLG_famc7	LTR5	6	4096
TREP234	RLG_famc7	LTR3	7560	11596
ctgH_rep_0258	RLG_famc2	LTR5	1	1573
ctgH_rep_0258	RLG_famc2	LTR3	5544	7115
TREP265	RLG_famc5	LTR5	1	1415
TREP265	RLG_famc5	LTR3	8208	9609
ctgB_rep_0211	RLG_famc2	LTR5	1	1434
ctgB_rep_0211	RLG_famc2	LTR3	6754	8192
ctgH_rep_0306	RLG_famc10	LTR5	1	519
ctgH_rep_0306	RLG_famc10	LTR3	12589	13109
ctgE_rep_0024	RLG_famc1	LTR5	1	517
ctgE_rep_0024	RLG_famc1	LTR3	8021	8536
ctgF_rep_0308	RLG_famc2	LTR5	1	529
ctgF_rep_0308	RLG_famc2	LTR3	7286	7554
ctgG_rep_0148	RLG_famc1	LTR5	1	473
ctgG_rep_0148	RLG_famc1	LTR3	8608	9080
rph7_rep_0586	RLC_famc1	LTR5	2	1734
rph7_rep_0586	RLC_famc1	LTR3	7036	8741
TREP1311	RLG_famc11	LTR5	1	2751
TREP1311	RLG_famc11	LTR3	8186	10919
ctgA_rep_0398	RLG_famc3	LTR5	1	4131
ctgA_rep_0398	RLG_famc3	LTR3	10148	14262
TREP700	RLC_famc1	LTR5	1	1746
TREP700	RLC_famc1	LTR3	7030	8786
TREP3250	RLG_famc2	LTR5	1	1571
TREP3250	RLG_famc2	LTR3	5951	7523
rph7_rep_0054	RLC_famc6	LTR5	1	233
rph7_rep_0054	RLC_famc6	LTR3	5231	5463
ctgH_rep_0278	RLG_famc10	LTR5	3	362
ctgH_rep_0278	RLG_famc10	LTR3	13589	13735
ctgF_rep_0309	RLG_famc3	LTR5	1	4159
ctgF_rep_0309	RLG_famc3	LTR3	8036	12246
ctgF_rep_0458	RLX_famc1	LTR5	3	488
ctgF_rep_0458	RLX_famc1	LTR3	4356	4841
ctgC_rep_0042	RLG_famc3	LTR5	1	4176
ctgC_rep_0042	RLG_famc3	LTR3	8160	12333
ctgK_rep_0051	RLG_famc8	LTR5	1	989
ctgK_rep_0051	RLG_famc8	LTR3	3799	4788
TREP3173	RLG_famc2	LTR5	5	1613
TREP3173	RLG_famc2	LTR3	5076	6684
ctgK_rep_0009	RLG_famc8	LTR5	1	917
ctgK_rep_0009	RLG_famc8	LTR3	6970	7886
ctgG_rep_0055	RLG_famc1	LTR5	1	471
ctgG_rep_0055	RLG_famc1	LTR3	9526	9996
rph7_rep_0121	RLC_famc1	LTR5	1	1738
rph7_rep_0121	RLC_famc1	LTR3	6865	8602
rph7_rep_0445	RLX_famc11	LTR5	1	1043
rph7_rep_0445	RLX_famc11	LTR3	7231	8273
ctgB_rep_0042	RLG_famc20	LTR5	1	757
ctgB_rep_0042	RLG_famc20	LTR3	6333	7089
TREP3156	RLC_famc1	LTR5	1	1787
TREP3156	RLC_famc1	LTR3	6881	8654
ctgF_rep_0457	RLG_famc9	LTR5	1	964
ctgF_rep_0457	RLG_famc9	LTR3	12198	13159
ctgD_rep_0096	RLG_famc2	LTR5	4	1558
ctgD_rep_0096	RLG_famc2	LTR3	6342	7911
ctgE_rep_0055	RLG_famc3	LTR5	1	4094
ctgE_rep_0055	RLG_famc3	LTR3	7968	12059
ctgG_rep_0046	RLC_famc4	LTR5	1	1728
ctgG_rep_0046	RLC_famc4	LTR3	10596	12322
ctgE_rep_0159	RLG_famc1	LTR5	1	468
ctgE_rep_0159	RLG_famc1	LTR3	10565	11044
TREP2328	RLG_famc11	LTR5	1	2379
TREP2328	RLG_famc11	LTR3	7828	10209
TREP3133	RLC_famc1	LTR5	1	1820
TREP3133	RLC_famc1	LTR3	7109	8928
sr2_rep_0050	RLG_famc2	LTR5	1	1556
sr2_rep_0050	RLG_famc2	LTR3	6707	8281
TREP3238	RLG_famc2	LTR5	1	1619
TREP3238	RLG_famc2	LTR3	6562	8183
ctgA_rep_0414	RLG_famc9	LTR5	1	1114
ctgA_rep_0414	RLG_famc9	LTR3	6027	7170
rph7_rep_0383	RLG_famc5	LTR5	1	1394
rph7_rep_0383	RLG_famc5	LTR3	8134	9533
ctgB_rep_0053	RLG_famc2	LTR5	1	1666
ctgB_rep_0053	RLG_famc2	LTR3	5491	7179
ctgG_rep_0004	RLG_famc19	LTR5	1	989
ctgG_rep_0004	RLG_famc19	LTR3	8798	9729
ctgB_rep_0110	RLC_famc3	LTR5	1	1541
ctgB_rep_0110	RLC_famc3	LTR3	13143	14683
ctgL_rep_0052	RLC_famc2	LTR5	1	1684
ctgL_rep_0052	RLC_famc2	LTR3	8333	10012
TREP3213	RLG_famc21	LTR5	1	1114
TREP3213	RLG_famc21	LTR3	13527	14678
TREP3149	RLC_famc7	LTR5	1	2516
TREP3149	RLC_famc7	LTR3	9058	9186
TREP3234	RLG_famc2	LTR5	1	1605
TREP3234	RLG_famc2	LTR3	6652	8258
rph7_rep_0339	RLG_famc1	LTR5	1	107
rph7_rep_0339	RLG_famc1	LTR3	9290	9396
ctgH_rep_0329	RLG_famc8	LTR5	23	562
ctgH_rep_0329	RLG_famc8	LTR3	3393	3931
TREP21	RLC_famc10	LTR5	1	380
TREP21	RLC_famc10	LTR3	6150	6529
ctgA_rep_0217	RLG_famc20	LTR5	1	635
ctgA_rep_0217	RLG_famc20	LTR3	6333	6967
ctgK_rep_0006	RLG_famc8	LTR5	1	917
ctgK_rep_0006	RLG_famc8	LTR3	6133	7049
ctgE_rep_0137	RLC_famc1	LTR5	2	1695
ctgE_rep_0137	RLC_famc1	LTR3	6791	8458
ctgB_rep_0223	RLC_famc1	LTR5	5	1116
ctgB_rep_0223	RLC_famc1	LTR3	6964	8070
ctgF_rep_0028	RLX_famc1	LTR5	1	482
ctgF_rep_0028	RLX_famc1	LTR3	5112	5593
ctgG_rep_0142	RLG_famc1	LTR5	3	473
ctgG_rep_0142	RLG_famc1	LTR3	8628	9098
TREP3202	RLG_famc10	LTR5	1	522
TREP3202	RLG_famc10	LTR3	7506	8027
ctgK_rep_0063	RLG_famc8	LTR5	1	917
ctgK_rep_0063	RLG_famc8	LTR3	7027	7943
rph7_rep_0428	RLC_famc1	LTR5	1	1749
rph7_rep_0428	RLC_famc1	LTR3	6886	8635
TREP231	RLG_famc9	LTR5	6	936
TREP231	RLG_famc9	LTR3	12337	13271
TREP1505	RLC_famc1	LTR5	6	1834
TREP1505	RLC_famc1	LTR3	7113	8933
ctgA_rep_0435	RLG_famc4	LTR5	3	925
ctgA_rep_0435	RLG_famc4	LTR3	7730	8695
ctgA_rep_0224	RLX_famc1	LTR5	1	233
ctgA_rep_0224	RLX_famc1	LTR3	5339	5569
rph7_rep_0342	RLC_famc4	LTR5	1	143
rph7_rep_0342	RLC_famc4	LTR3	11141	11302
ctgB_rep_0115	RLC_famc1	LTR5	1	1725
ctgB_rep_0115	RLC_famc1	LTR3	7041	8770
ctgF_rep_0389	RLG_famc6	LTR5	1	1502
ctgF_rep_0389	RLG_famc6	LTR3	8582	10083
TREP1312	RLG_famc11	LTR5	2	3154
TREP1312	RLG_famc11	LTR3	7219	10370
TREP3246	RLG_famc2	LTR5	1	1647
TREP3246	RLG_famc2	LTR3	6429	8090
TREP1524	RLC_famc15	LTR5	6	360
TREP1524	RLC_famc15	LTR3	4673	5027
ctgA_rep_0421	RLX_famc4	LTR5	1	3890
ctgA_rep_0421	RLX_famc4	LTR3	12685	12985
TREP3224	RLG_famc11	LTR5	1	3096
TREP3224	RLG_famc11	LTR3	6743	9887
TREP1439	RLC_famc1	LTR5	3	1754
TREP1439	RLC_famc1	LTR3	6863	8615
ctgK_rep_0026	RLG_famc8	LTR5	1	917
ctgK_rep_0026	RLG_famc8	LTR3	6964	7880
TREP2302	RLG_famc3	LTR5	6	4214
TREP2302	RLG_famc3	LTR3	8196	12423
TREP702	RLC_famc1	LTR5	1	1834
TREP702	RLC_famc1	LTR3	6819	8629
ctgA_rep_0071	RLG_famc6	LTR5	1	1521
ctgA_rep_0071	RLG_famc6	LTR3	9873	11393
TREP1306	RLG_famc1	LTR5	5	486
TREP1306	RLG_famc1	LTR3	9430	9911
ctgF_rep_0184	RLG_famc12	LTR5	1	418
ctgF_rep_0184	RLG_famc12	LTR3	6913	7330
rph7_rep_0102	RLX_famc3	LTR5	1	157
rph7_rep_0102	RLX_famc3	LTR3	2313	2467
ctgA_rep_0497	RLG_famc1	LTR5	1	340
ctgA_rep_0497	RLG_famc1	LTR3	9516	9855
TREP3237	RLG_famc2	LTR5	1	1530
TREP3237	RLG_famc2	LTR3	6453	8000
ctgG_rep_0008	RLG_famc1	LTR5	1	482
ctgG_rep_0008	RLG_famc1	LTR3	9531	10011
ctgA_rep_0436	RLG_famc1	LTR5	1	481
ctgA_rep_0436	RLG_famc1	LTR3	8466	8946
TREP1629	RLC_famc1	LTR5	3	1819
TREP1629	RLC_famc1	LTR3	6807	8627
ctgH_rep_0283	RLG_famc4	LTR5	3	913
ctgH_rep_0283	RLG_famc4	LTR3	9044	9954
TREP3148	RLC_famc12	LTR5	1	183
TREP3148	RLC_famc12	LTR3	6809	6991
TREP2357	RLG_famc13	LTR5	1	1692
TREP2357	RLG_famc13	LTR3	10384	11791
ctgA_rep_0245	RLG_famc7	LTR5	1	3493
ctgA_rep_0245	RLG_famc7	LTR3	5844	9201
rph7_rep_0368	RLG_famc2	LTR5	3	169
rph7_rep_0368	RLG_famc2	LTR3	5041	5207
ctgA_rep_0099	RLG_famc1	LTR5	1	471
ctgA_rep_0099	RLG_famc1	LTR3	8630	9100
ctgA_rep_0267	RLG_famc4	LTR5	3	902
ctgA_rep_0267	RLG_famc4	LTR3	7796	8700
ctgG_rep_0024	RLG_famc15	LTR5	1	585
ctgG_rep_0024	RLG_famc15	LTR3	12623	13210
ctgD_rep_0205	RLG_famc5	LTR5	1	1403
ctgD_rep_0205	RLG_famc5	LTR3	8071	9444
ctgG_rep_0152	RLG_famc6	LTR5	1	1492
ctgG_rep_0152	RLG_famc6	LTR3	8718	10241
TREP704	RLC_famc14	LTR5	1	1572
TREP704	RLC_famc14	LTR3	10644	10859
ctgB_rep_0047	RLG_famc4	LTR5	9	918
ctgB_rep_0047	RLG_famc4	LTR3	7073	7982
rph7_rep_0119	RLX_famc5	LTR5	1	4394
rph7_rep_0119	RLX_famc5	LTR3	7613	12130
TREP3458	RLG_famc15	LTR5	1	537
TREP3458	RLG_famc15	LTR3	11729	12268
TREP258	RLG_famc7	LTR5	6	2865
TREP258	RLG_famc7	LTR3	10874	13546
rph7_rep_0299	RLC_famc3	LTR5	1	1494
rph7_rep_0299	RLC_famc3	LTR3	8567	10077
TREP82	XXX_famc15	LTR5	10	357
TREP82	XXX_famc15	LTR3	389	737
TREP3459	RLG_famc7	LTR5	1	4116
TREP3459	RLG_famc7	LTR3	7750	11900
TREP2232	RLC_famc1	LTR5	1	1813
TREP2232	RLC_famc1	LTR3	6793	8605
rph7_rep_0029	RLG_famc2	LTR5	1	1574
rph7_rep_0029	RLG_famc2	LTR3	6054	7637
ctgB_rep_0221	RLC_famc1	LTR5	1	1748
ctgB_rep_0221	RLC_famc1	LTR3	6790	8539
TREP3154	RLC_famc5	LTR5	1	120
TREP3154	RLC_famc5	LTR3	4802	4921
ctgF_rep_0189	RLC_famc4	LTR5	1	668
ctgF_rep_0189	RLC_famc4	LTR3	11085	11244
ctgE_rep_0035	RLG_famc2	LTR5	1	1586
ctgE_rep_0035	RLG_famc2	LTR3	5971	7579
rph7_rep_03561	RLX_famc23	LTR5	1	342
rph7_rep_03561	RLX_famc23	LTR3	429	770
TREP3522	RLX_famc2	LTR5	13	290
TREP3522	RLX_famc2	LTR3	446	722
ctgA_rep_0266	RLX_famc10	LTR5	1	997
ctgA_rep_0266	RLX_famc10	LTR3	4607	4809
TREP29	RLC_famc1	LTR5	6	1036
TREP29	RLC_famc1	LTR3	2293	3322
rph7_rep_0409	RLC_famc1	LTR5	3	4613
rph7_rep_0409	RLC_famc1	LTR3	6836	11386
ctgK_rep_0038	RLG_famc8	LTR5	1	918
ctgK_rep_0038	RLG_famc8	LTR3	6862	7778
ctgB_rep_0018	RLG_famc5	LTR5	1	1407
ctgB_rep_0018	RLG_famc5	LTR3	8149	9554
ctgA_rep_0273	RLG_famc11	LTR5	1	2602
ctgA_rep_0273	RLG_famc11	LTR3	8091	10660
ctgA_rep_0403	RLG_famc3	LTR5	1	4157
ctgA_rep_0403	RLG_famc3	LTR3	7610	11689
rph7_rep_0581	RLC_famc1	LTR5	2	1734
rph7_rep_0581	RLC_famc1	LTR3	7013	8717
TREP3180	RLG_famc1	LTR5	1	472
TREP3180	RLG_famc1	LTR3	9536	10007
TREP3223	RLG_famc11	LTR5	1	2750
TREP3223	RLG_famc11	LTR3	8207	10868
TREP2071	RLC_famc24	LTR5	4	384
TREP2071	RLC_famc24	LTR3	3661	4041
ctgA_rep_0064	RLG_famc6	LTR5	1	1516
ctgA_rep_0064	RLG_famc6	LTR3	8658	10210
ctgD_rep_0100	RLG_famc2	LTR5	1	1547
ctgD_rep_0100	RLG_famc2	LTR3	5971	7516
ctgE_rep_0009	RLG_famc2	LTR5	1	1574
ctgE_rep_0009	RLG_famc2	LTR3	6656	8229
ctgB_rep_0128	RLG_famc1	LTR5	1	469
ctgB_rep_0128	RLG_famc1	LTR3	9313	9781
TREP2338	RLG_famc2	LTR5	1	1352
TREP2338	RLG_famc2	LTR3	6699	6828
rph7_rep_03855	RLC_famc1	LTR5	8	1561
rph7_rep_03855	RLC_famc1	LTR3	6808	8363
TREP3214	RLG_famc21	LTR5	1	1114
TREP3214	RLG_famc21	LTR3	13527	14678
TREP1413	RLG_famc1	LTR5	6	479
TREP1413	RLG_famc1	LTR3	9533	10006
ctgH_rep_0268	RLG_famc8	LTR5	1	974
ctgH_rep_0268	RLG_famc8	LTR3	3799	4772
ctgG_rep_0150	RLG_famc19	LTR5	6	923
ctgG_rep_0150	RLG_famc19	LTR3	6469	7390
ctgA_rep_0149	RLX_famc1	LTR5	1	480
ctgA_rep_0149	RLX_famc1	LTR3	5204	5685
ctgA_rep_0342	RLG_famc6	LTR5	48	928
ctgA_rep_0342	RLG_famc6	LTR3	8874	9746
TREP60	XXX_famc53	LTR5	1	166
TREP60	XXX_famc53	LTR3	169	334
rph7_rep_0406	RLX_famc17	LTR5	1	432
rph7_rep_0406	RLX_famc17	LTR3	5516	5948
ctgF_rep_0325	RLG_famc2	LTR5	1	1628
ctgF_rep_0325	RLG_famc2	LTR3	6044	7655
ctgA_rep_0481	RLG_famc1	LTR5	1	480
ctgA_rep_0481	RLG_famc1	LTR3	9571	10050
ctgG_rep_0030	RLG_famc8	LTR5	1	978
ctgG_rep_0030	RLG_famc8	LTR3	3812	4789
ctgF_rep_0054	RLG_famc3	LTR5	1	4075
ctgF_rep_0054	RLG_famc3	LTR3	9007	13085
ctgL_rep_0012	RLG_famc3	LTR5	1	4236
ctgL_rep_0012	RLG_famc3	LTR3	8208	12446
ctgA_rep_0434	RLG_famc20	LTR5	1	714
ctgA_rep_0434	RLG_famc20	LTR3	6856	7586
ctgI_rep_0141	RLG_famc4	LTR5	1	922
ctgI_rep_0141	RLG_famc4	LTR3	8484	9401
TREP3233	RLG_famc2	LTR5	1	1611
TREP3233	RLG_famc2	LTR3	6713	8317
rph7_rep_0041	RLC_famc1	LTR5	1	1736
rph7_rep_0041	RLC_famc1	LTR3	7026	8762
TREP3278	RLX_famc18	LTR5	15	462
TREP3278	RLX_famc18	LTR3	1524	1971
TREP1226	RLG_famc9	LTR5	3	1118
TREP1226	RLG_famc9	LTR3	10011	11112
ctgK_rep_0066	RLG_famc8	LTR5	1	978
ctgK_rep_0066	RLG_famc8	LTR3	3396	4374
ctgI_rep_0102	RLC_famc1	LTR5	1	920
ctgI_rep_0102	RLC_famc1	LTR3	7121	8040
ctgH_rep_0205	RLG_famc1	LTR5	1	457
ctgH_rep_0205	RLG_famc1	LTR3	7935	8414
ctgL_rep_0074	RLG_famc1	LTR5	1	466
ctgL_rep_0074	RLG_famc1	LTR3	8383	8848
ctgE_rep_0008	RLC_famc1	LTR5	1	1709
ctgE_rep_0008	RLC_famc1	LTR3	7022	8725
TREP3189	RLG_famc1	LTR5	1	473
TREP3189	RLG_famc1	LTR3	9525	9997
ctgA_rep_0429	RLG_famc14	LTR5	1	175
ctgA_rep_0429	RLG_famc14	LTR3	12901	13075
rph7_rep_0303	RLG_famc11	LTR5	1	1128
rph7_rep_0303	RLG_famc11	LTR3	9223	10352
ctgH_rep_0322	RLG_famc14	LTR5	1	198
ctgH_rep_0322	RLG_famc14	LTR3	12723	12920
ctgH_rep_0113	RLC_famc1	LTR5	1	1735
ctgH_rep_0113	RLC_famc1	LTR3	8040	9774
TREP1316	RLC_famc6	LTR5	6	1028
TREP1316	RLC_famc6	LTR3	5844	5943
TREP3279	RLX_famc15	LTR5	1	142
TREP3279	RLX_famc15	LTR3	1252	1392
ctgF_rep_0342	RLC_famc1	LTR5	1	1750
ctgF_rep_0342	RLC_famc1	LTR3	6942	8691
ctgH_rep_0298	RLG_famc1	LTR5	3	479
ctgH_rep_0298	RLG_famc1	LTR3	8881	9358
ctgH_rep_0330	RLG_famc3	LTR5	1	4195
ctgH_rep_0330	RLG_famc3	LTR3	8081	12276
TREP246	RLC_famc1	LTR5	1	1737
TREP246	RLC_famc1	LTR3	6797	8534
sr2_rep_0024	RLG_famc10	LTR5	1	525
sr2_rep_0024	RLG_famc10	LTR3	12718	13241
TREP2312	RLC_famc3	LTR5	1	1412
TREP2312	RLC_famc3	LTR3	13018	14444
TREP1307	RLC_famc5	LTR5	6	201
TREP1307	RLC_famc5	LTR3	4861	5056
ctgH_rep_0327	RLC_famc1	LTR5	1	1682
ctgH_rep_0327	RLC_famc1	LTR3	6937	8658
ctgA_rep_0088	RLG_famc1	LTR5	1	473
ctgA_rep_0088	RLG_famc1	LTR3	8197	8669
ctgL_rep_0088	RLX_famc7	LTR5	1	4703
ctgL_rep_0088	RLX_famc7	LTR3	8049	12747
ctgA_rep_0485	RLC_famc1	LTR5	1	1761
ctgA_rep_0485	RLC_famc1	LTR3	6884	8647
ctgF_rep_0317	RLG_famc9	LTR5	1	197
ctgF_rep_0317	RLG_famc9	LTR3	11757	11953
ctgL_rep_0059	RLG_famc7	LTR5	1	2486
ctgL_rep_0059	RLG_famc7	LTR3	9456	10582
ctgG_rep_0105	RLX_famc17	LTR5	1	321
ctgG_rep_0105	RLX_famc17	LTR3	4968	5291
ctgD_rep_0262	RLG_famc1	LTR5	1	472
ctgD_rep_0262	RLG_famc1	LTR3	8445	8916
TREP2289	RLC_famc15	LTR5	1	368
TREP2289	RLC_famc15	LTR3	4715	5083
rph7_rep_0574	RLG_famc1	LTR5	1	529
rph7_rep_0574	RLG_famc1	LTR3	8630	9167
ctgB_rep_0226	RLX_famc6	LTR5	2	1095
ctgB_rep_0226	RLX_famc6	LTR3	4731	4986
rph7_rep_0228	RLG_famc2	LTR5	1	1535
rph7_rep_0228	RLG_famc2	LTR3	5705	7193
ctgG_rep_0009	RLG_famc2	LTR5	3	1645
ctgG_rep_0009	RLG_famc2	LTR3	3963	4080
ctgF_rep_0051	RLG_famc6	LTR5	1	1500
ctgF_rep_0051	RLG_famc6	LTR3	8576	10080
ctgF_rep_0204	RLG_famc2	LTR5	1	1465
ctgF_rep_0204	RLG_famc2	LTR3	7499	8973
ctgK_rep_0025	RLG_famc8	LTR5	1	980
ctgK_rep_0025	RLG_famc8	LTR3	3998	4977
ctgB_rep_0237	RLG_famc1	LTR5	2	481
ctgB_rep_0237	RLG_famc1	LTR3	8684	9163
rph7_rep_0143	RLC_famc2	LTR5	1	1687
rph7_rep_0143	RLC_famc2	LTR3	8291	9976
ctgI_rep_0055	RLC_famc1	LTR5	1	1754
ctgI_rep_0055	RLC_famc1	LTR3	7007	8758
ctgK_rep_0023	RLG_famc8	LTR5	1	911
ctgK_rep_0023	RLG_famc8	LTR3	6973	7883
ctgD_rep_0240	RLG_famc1	LTR5	1	482
ctgD_rep_0240	RLG_famc1	LTR3	8691	9172
ctgA_rep_0195	RLC_famc8	LTR5	3	157
ctgA_rep_0195	RLC_famc8	LTR3	4820	4974
ctgI_rep_0045	RLG_famc12	LTR5	1	372
ctgI_rep_0045	RLG_famc12	LTR3	4892	5265
ctgH_rep_0336	RLG_famc3	LTR5	1	4168
ctgH_rep_0336	RLG_famc3	LTR3	8128	12467
ctgA_rep_0102	RLC_famc1	LTR5	1	1741
ctgA_rep_0102	RLC_famc1	LTR3	6876	8624
ctgB_rep_0164	RLG_famc2	LTR5	1	1567
ctgB_rep_0164	RLG_famc2	LTR3	6690	8239
TREP3177	RLG_famc2	LTR5	1	338
TREP3177	RLG_famc2	LTR3	5806	6142
ctgB_rep_0089	RLX_famc1	LTR5	3	481
ctgB_rep_0089	RLX_famc1	LTR3	4611	4786
ctgA_rep_0229	RLG_famc11	LTR5	1	1984
ctgA_rep_0229	RLG_famc11	LTR3	10216	10657
ctgA_rep_0326	RLC_famc1	LTR5	14	1740
ctgA_rep_0326	RLC_famc1	LTR3	6872	8582
ctgF_rep_0022	RLG_famc7	LTR5	1	4937
ctgF_rep_0022	RLG_famc7	LTR3	7265	12414
ctgH_rep_0337	RLG_famc3	LTR5	1	4174
ctgH_rep_0337	RLG_famc3	LTR3	8140	12308
ctgH_rep_0290	RLG_famc1	LTR5	1	425
ctgH_rep_0290	RLG_famc1	LTR3	8352	8779
ctgL_rep_0085	RLG_famc14	LTR5	1	1128
ctgL_rep_0085	RLG_famc14	LTR3	15650	16074
sr2_rep_0098	RLC_famc1	LTR5	1	1723
sr2_rep_0098	RLC_famc1	LTR3	7039	8761
