#copieID	classif_28_02_2013
TREP821	RLG_famc5.1
TREP823	XXX_famc58
TREP825	DTM_famc21
TREP826	RLC_famc1.6
TREP830	DTT_famn25
TREP831	DTM_famc11
TREP832	RIX_famc1
TREP833	DTH_famn1
TREP834	DTH_famn1
TREP839	RLC_famc1.2
TREP84	XXX_famc59
TREP840	RLC_famc1.3
TREP850	DTT_famn22
TREP851	DTT_famn10
TREP852	DTT_famn10
TREP853	DTT_famn10
TREP854	DTT_famn10
TREP855	DTT_famn12
TREP856	DTT_famn11
TREP857	DTT_famn10
TREP858	DTT_famn10
TREP859	DTT_famn10
TREP860	DTT_famn12
TREP861	DTT_famn11
TREP862	DTT_famn10
TREP863	DTT_famn11
TREP864	DTT_famn12
TREP865	DTT_famn12
TREP866	DTT_famn10
TREP867	DTT_famn22
TREP868	DTT_famn10
TREP869	DTT_famn10
TREP870	DTT_famn10
TREP871	DTT_famn10
TREP872	DTT_famn10
TREP873	DTT_famn10
TREP874	DTT_famn10
TREP875	DTT_famn22
TREP876	DTT_famn10
TREP877	DTT_famn22
TREP878	DTT_famn10
TREP879	DTT_famn10
TREP880	DTT_famn22
TREP881	DTT_famn12
TREP882	DTT_famn10
TREP883	DTT_famn10
TREP884	DTT_famn22
TREP885	DTT_famn10
TREP886	DTT_famn10
TREP887	DTT_famn10
TREP888	DTT_famn2
TREP889	DTT_famn22
TREP890	DTT_famn2
TREP891	DTT_famn10
TREP892	DTT_famn22
TREP893	DTT_famn10
TREP894	DTT_famn22
TREP895	DTT_famn17
TREP896	DTT_famn10
TREP897	DTT_famn10
TREP898	DTT_famn10
TREP899	DTT_famn10
TREP900	DTT_famn10
TREP901	DTT_famn22
TREP902	DTT_famn22
TREP903	DTT_famn10
TREP904	DTT_famn10
TREP905	DTT_famn22
TREP906	DTT_famn22
TREP907	DTT_famn22
TREP908	DTT_famn22
TREP909	DTT_famn22
TREP910	DTT_famn10
TREP911	DTT_famn10
TREP912	DTT_famn10
TREP913	DTT_famn10
TREP914	DTT_famn22
TREP915	DTT_famn17
TREP916	DTT_famn22
TREP917	DTT_famn10
TREP918	DTT_famn21
TREP919	DTT_famn24
TREP920	DTT_famn10
TREP921	DTT_famn10
TREP922	DTT_famn21
TREP923	DTT_famn24
TREP924	DTT_famn17
TREP925	DTT_famn10
TREP926	DTT_famn10
TREP927	DTT_famn10
TREP928	DTT_famn10
TREP929	DTT_famn10
TREP930	DTT_famn11
TREP931	DTT_famn10
TREP932	DTT_famn10
TREP933	DTT_famn10
TREP934	DTT_famn10
TREP935	DTT_famn11
TREP936	DTT_famn10
TREP937	DTT_famn10
TREP938	DTT_famn10
TREP939	DTT_famn10
TREP940	DTT_famn10
TREP941	DTT_famn22
TREP942	DTT_famn22
TREP943	DTT_famn10
TREP944	DTT_famn22
TREP945	DTT_famn10
TREP946	DTT_famn10
TREP947	DTT_famn10
TREP948	DTT_famn22
TREP949	DTT_famn2
TREP950	DTT_famn6
TREP951	DTT_famn6
TREP952	DTT_famn6
TREP953	DTT_famn6
TREP954	DTT_famn6
TREP955	DTT_famn6
TREP956	DTT_famn6
TREP957	DTT_famn6
TREP958	DTT_famn6
TREP959	DTT_famn6
TREP96	RLC_famc1.3
TREP960	DTT_famn6
TREP961	DTT_famn6
TREP962	DTT_famn6
TREP963	DTT_famn6
TREP964	DTT_famn6
TREP965	DTT_famn6
TREP966	DTT_famn6
TREP967	DTT_famn6
TREP968	DTT_famn6
TREP969	DTT_famn6
TREP970	DTT_famn6
TREP971	DTT_famn6
TREP972	DTT_famn6
TREP973	DTT_famn6
TREP974	DTT_famn6
TREP975	DTT_famn6
TREP976	DTT_famn6
TREP977	DTT_famn6
TREP978	DTT_famn6
TREP979	DTT_famn6
TREP980	DTT_famn6
TREP981	DTT_famn14
TREP982	DTT_famn14
TREP983	DTT_famn14
TREP984	DTT_famn14
TREP985	DTT_famn14
TREP986	DTT_famn14
TREP987	DTT_famn14
TREP988	DTT_famn14
TREP989	DTT_famn14
TREP990	DTT_famn14
TREP991	DTT_famn14
TREP992	DTT_famn14
TREP993	DTT_famn14
TREP994	DTT_famn3
TREP995	DTT_famn1
TREP996	DTT_famn14
TREP997	DTT_famn14
TREP998	DTT_famn14
TREP999	DTT_famn1
TREP1702	RLC_famc1.7
TREP1704	DTC_famc1.4
TREP1706	XXX_famc60
TREP1707	XXX_famc61
TREP1709	XXX_famc62
TREP1710	DTC_famc9
TREP1711	RLG_famc15
TREP1715	RLG_famc3.4
TREP1716	RLG_famc3.3
TREP1718	DXX_famc1
TREP1719	DXX_famc4
TREP1722	RLG_famc2.1
TREP1724	RLC_famc1.3
TREP1802	DTC_famc1.1
TREP1803	DTC_famc3.1
TREP1804	RLG_famc1.2
TREP1805	DTT_famn14
TREP1807	DTT_famn25
TREP1811	DTC_famc9
TREP1812	DTC_famc9
TREP1815	RIX_famc1
TREP1816	DTH_famc8
TREP1817	DXX_famc5
TREP1819	DTH_famn1
TREP1820	RIX_famc8
TREP1823	RLC_famc1.3
TREP1824	RLC_famc1.3
TREP1825	RLC_famc1.2
TREP1826	RLC_famc1.3
TREP2000	DTT_famn10
TREP2059	RLC_famc1.1
TREP2060	RLC_famc1.1
TREP2061	RLC_famc1.1
TREP2064	DTC_famc1.2
TREP2065	DTC_famc4.2
TREP2005	DTC_famc1.3
TREP2006	DTC_famc1.3
TREP2068	DTC_famc1.3
TREP2069	DTC_famc11.1
TREP2071	RLC_famc24
TREP2013	XXX_famc64
TREP2015	DTT_famn7
TREP2078	DTT_famn14
TREP2072	DTM_famc3
TREP2033	DTT_famn16
TREP2016	RLC_famc10
TREP2081	DTH_famn5
TREP2022	XXX_famc65
TREP2090	DTT_famn28
TREP2026	DTT_famn29
TREP2027	DTT_famn29
TREP2036	DTX_famn16
TREP2037	DTT_famn6
TREP2034	DTT_famn4
TREP2035	DTT_famn19
TREP2041	DTC_famc6.2
TREP2095	DTT_famn6
TREP2097	DTT_famn6
TREP2042	DTT_famn6
TREP2043	DTT_famn6
TREP2044	DTT_famn6
TREP2045	DTT_famn6
TREP2099	DTT_famn6
TREP2100	DTT_famn6
TREP2101	DTT_famn6
TREP2103	DTT_famn6
TREP2049	RLG_famc5.4
TREP2106	XXX_famc6
TREP2107	XXX_famc6
TREP2108	XXX_famc6
TREP2110	XXX_famc6
TREP2109	XXX_famc6
TREP2050	XXX_famc13
TREP2051	XXX_famc13
TREP2054	XXX_famc6
TREP2202	DTM_famc5
TREP28	DTC_famc1.5
TREP2205	DTC_famc3.1
TREP2211	DTT_famn14
TREP2212	RIX_famc1
TREP2214	DTT_famn27
TREP2215	DTT_famn31
TREP2216	DTT_famn8
TREP24	RIX_famc9
TREP2218	RLG_famc2.6
TREP2221	DTC_famc3.3
TREP2225	XXX_famc67
TREP2226	DTH_famn4
TREP2227	XXX_famc5
TREP2203	RLC_famc1.7
TREP35	RLC_famc1.7
TREP128	RLC_famc1.7
TREP111	RLC_famc1.7
TREP23	RLC_famc1.6
TREP2217	DTM_famc9
TREP118	DTT_famn10
TREP119	DTT_famn22
TREP121	DTT_famn10
TREP122	DTT_famn15
TREP123	DTT_famn2
TREP124	DTC_famc8
TREP125	DTC_famc8
TREP126	DTC_famc8
TREP127	RLC_famc2.1
TREP2229	RLC_famc2.2
TREP2232	RLC_famc1.1
TREP2235	RLC_famc1.1
TREP2236	RLC_famc1.2
TREP2243	DTC_famc1.4
TREP2249	DTC_famc1.5
TREP2251	DTH_famn3
TREP2255	DTT_famn6
TREP2256	XXX_famc28
TREP2257	XXX_famc28
TREP2261	RLG_famc7.2
TREP2266	RLG_famc1.1
TREP2268	RLG_famc1.3
TREP2271	DTM_famc10
TREP2273	DTM_famc10
TREP2274	RLX_famc1
TREP2276	DTT_famn14
TREP2277	DTT_famn14
TREP2278	DTT_famn14
TREP2279	DTT_famn1
TREP2280	DTT_famn16
TREP2281	DTT_famn14
TREP2282	RLG_famc22
TREP2284	XXX_famc68
TREP2285	DTX_famn23
TREP2288	RLC_famc10
TREP2289	RLC_famc15
TREP2290	DTX_famn22
TREP2297	RLC_famc15
TREP2301	RLG_famc3.3
TREP2302	RLG_famc3.1
TREP2310	RLC_famc3.1
TREP2311	RLC_famc3.1
TREP2312	RLC_famc3.1
TREP2317	RLG_famc4.1
TREP2318	RLG_famc4.2
TREP2319	DTT_famn15
TREP2320	DTT_famn15
TREP2322	DTT_famn29
TREP2323	DTT_famn29
TREP2328	RLG_famc11.1
TREP2338	RLG_famc2.5
TREP2349	RLG_famc7.3
TREP2352	DTT_famn6
TREP2353	DTT_famn6
TREP2354	DTT_famn6
TREP2355	DTH_famn2
TREP2357	RLG_famc13
TREP2358	DTC_famc5
TREP2359	RLG_famc5.4
TREP2371	DTH_famn4
TREP2372	XXX_famc4
TREP2373	XXX_famc4
TREP2376	RLC_famc12
TREP3002	DTA_famc1
TREP3003	DTA_famc2
TREP3004	DTC_famc7.1
TREP3005	DTC_famc7.1
TREP3006	DTC_famc4.4
TREP3008	DTC_famc4.3
TREP3009	DTC_famc1.4
TREP3016	DTC_famc1.3
TREP3017	DTC_famc1.3
TREP3018	DTC_famc19
TREP3020	DTC_famc1.3
TREP3021	DTC_famc3.1
TREP3022	DTC_famc3.2
TREP3024	DTC_famc3.1
TREP3025	DTC_famc1.5
TREP3026	DTC_famc2.4
TREP3029	DTC_famc15
TREP3030	DTC_famc4.2
TREP3034	DTH_famc1.1
TREP3036	DTH_famc1.1
TREP3037	DTH_famc1.1
TREP3038	DTH_famc1.1
TREP3039	DTH_famc1.1
TREP3040	DTH_famc1.1
TREP3041	DTH_famc1.1
TREP3044	DTH_famc2
TREP3045	DTH_famc2
TREP3046	DTH_famc2
TREP3047	DTH_famc2
TREP3048	DTH_famc2
TREP3049	DTH_famc2
TREP3050	DTH_famc2
TREP3051	DTH_famc3
TREP3052	DTH_famc3
TREP3053	DTX_famn9
TREP3054	DTH_famc3
TREP3056	DTM_famc5
TREP3058	DTM_famc12
TREP3059	DTM_famc22
TREP3060	DTM_famc8
TREP3061	DTM_famc1
TREP3062	DTM_famc1
TREP3063	DTM_famc1
TREP3064	DTM_famc1
TREP3065	DTM_famc1
TREP3066	DTM_famc1
TREP3067	DTM_famc1
TREP3068	DTM_famc1
TREP3070	DTT_famc3
TREP3071	DTT_famc3
TREP3072	DTT_famc3
TREP3073	DTT_famc3
TREP3074	DTT_famc2
TREP3075	DTT_famc5
TREP3076	DTT_famc5
TREP3077	DTT_famc2
TREP3078	DTT_famc5
TREP3079	DTT_famc2
TREP3080	DTT_famc2
TREP3081	DTT_famn10
TREP3082	DTT_famc2
TREP3083	DTT_famc6
TREP3084	DTT_famc6
TREP3085	DTT_famc6
TREP3086	DTT_famc6
TREP3087	DTT_famc4
TREP3088	DTT_famc4
TREP3089	DTT_famc8
TREP3090	DTT_famc4
TREP3091	DTT_famc8
TREP3092	DTT_famn25
TREP3093	DTT_famc4
TREP3094	DTT_famc4
TREP3095	DTT_famc9
TREP3096	DTT_famc7
TREP3097	DTT_famc7
TREP3098	DTT_famn29
TREP3099	DTT_famc7
TREP3100	DTT_famc10
TREP3101	DTT_famc1
TREP3102	DTT_famc1
TREP3103	DTT_famc1
TREP3104	DTT_famc1
TREP3105	DTT_famc1
TREP3106	DTT_famc1
TREP3107	DTT_famn6
TREP3108	DTT_famc1
TREP3109	DTT_famc1
TREP3110	DTT_famc1
TREP3111	DTT_famc1
TREP3112	DTX_famc8
TREP3125	RLC_famc5.1
TREP3126	RLC_famc5.1
TREP3127	RLC_famc1.8
TREP3128	RLC_famc1.9
TREP3131	RLC_famc2.3
TREP3132	RLC_famc1.1
TREP3133	RLC_famc1.1
TREP3134	RLC_famc1.2
TREP3135	RLC_famc1.1
TREP3136	RLC_famc1.1
TREP3137	RLC_famc1.1
TREP3139	RLC_famc1.1
TREP3140	RLC_famc1.1
TREP3141	RLC_famc1.2
TREP3143	RLC_famc1.1
TREP3147	RLC_famc7.1
TREP3148	RLC_famc12
TREP3151	RLC_famc3.4
TREP3152	RLC_famc3.4
TREP3153	RLC_famc3.1
TREP3154	RLC_famc5.1
TREP3155	RLC_famc1.3
TREP3156	RLC_famc1.3
TREP3157	RLC_famc1.3
TREP3158	RLC_famc1.2
TREP3159	RLC_famc1.3
TREP3160	RLC_famc1.3
TREP3161	RLC_famc1.2
TREP3162	RLG_famc6.1
TREP3163	RLG_famc6.1
TREP3164	RLG_famc6.1
TREP3165	RLG_famc6.1
TREP3167	RLG_famc6.1
TREP3168	RLG_famc10.2
TREP3169	RLG_famc10.2
TREP3171	RLG_famc9.3
